action,proto,source,src_port,direction,destination,dst_port,msg,options,options_signature
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR MISC rewt attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""rewt""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR MISC Linux rootkit attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""wh00t!""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR MISC Linux rootkit attempt lrkr0x""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""lrkr0x""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR MISC Linux rootkit attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""d13hh[""', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR MISC Linux rootkit satori attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""satori""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR MISC sm4ck attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""hax0r""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR MISC Solaris 2.5 attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""friday""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR HidePak backdoor attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""StoogR""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR HideSource backdoor attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""wank""'])]"
alert,icmp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-ICMP TFN Probe""","['icmp_id', 'itype', 'content']","[('icmp_id', ['678']), ('itype', ['8']), ('content', ['""1234""', 'fast_pattern', 'nocase'])]"
alert,icmp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-ICMP tfn2k icmp possible communication""","['icmp_id', 'itype', 'content']","[('icmp_id', ['0']), ('itype', ['0']), ('content', ['""AAAAAAAAAA""', 'fast_pattern', 'nocase'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,"[31335, 35555]","""MALWARE-OTHER Trin00 Daemon to Master PONG message detected""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""PONG""', 'fast_pattern', 'nocase'])]"
alert,icmp,3.3.3.3/32,any,unidirectional,$EXTERNAL_NET,any,"""PROTOCOL-ICMP Stacheldraht server spoof""","['icmp_id', 'itype']","[('icmp_id', ['666']), ('itype', ['0'])]"
alert,icmp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,any,"""PROTOCOL-ICMP Stacheldraht gag server response""","['icmp_id', 'itype', 'content']","[('icmp_id', ['669']), ('itype', ['0']), ('content', ['""sicken""'])]"
alert,icmp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,any,"""PROTOCOL-ICMP Stacheldraht server response""","['icmp_id', 'itype', 'content']","[('icmp_id', ['667']), ('itype', ['0']), ('content', ['""ficken""'])]"
alert,icmp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-ICMP Stacheldraht client spoofworks""","['icmp_id', 'itype', 'content']","[('icmp_id', ['1000']), ('itype', ['0']), ('content', ['""spoofworks""'])]"
alert,icmp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-ICMP TFN client command BE""","['icmp_id', 'icmp_seq', 'itype', 'pcre']","[('icmp_id', ['456']), ('icmp_seq', ['0']), ('itype', ['0']), ('pcre', ['""/^[0-9]{1', '5}\\x00/""'])]"
alert,icmp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-ICMP Stacheldraht client check skillz""","['icmp_id', 'itype', 'content']","[('icmp_id', ['666']), ('itype', ['0']), ('content', ['""skillz""'])]"
alert,tcp,$HOME_NET,20432,unidirectional,$EXTERNAL_NET,any,"""MALWARE-OTHER shaft client login to handler""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['""login|3A|""', 'fast_pattern', 'nocase'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,31335,"""MALWARE-OTHER Trin00 Daemon to Master message detected""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""l44""', 'fast_pattern', 'nocase'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,31335,"""MALWARE-OTHER Trin00 Daemon to Master *HELLO* message detected""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""*HELLO*""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,27665,"""MALWARE-OTHER Trin00 Attacker to Master default startup password""","['flow', 'content']","[('flow', ['established', 'to_server']), ('content', ['""betaalmostdone""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,27665,"""MALWARE-OTHER Trin00 Attacker to Master default password""","['flow', 'content']","[('flow', ['established', 'to_server']), ('content', ['""gOrave""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,27665,"""MALWARE-OTHER Trin00 Attacker to Master default mdie password""","['flow', 'content']","[('flow', ['established', 'to_server']), ('content', ['""killme""'])]"
alert,icmp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-ICMP Stacheldraht client check gag""","['icmp_id', 'itype', 'content']","[('icmp_id', ['668']), ('itype', ['0']), ('content', ['""gesundheit!""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,27444,"""MALWARE-OTHER Trin00 Master to Daemon default password attempt""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""l44adsl""'])]"
alert,icmp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,any,"""PROTOCOL-ICMP TFN server response""","['icmp_id', 'itype', 'content']","[('icmp_id', ['123']), ('itype', ['0']), ('content', ['""shell bound""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,18753,"""MALWARE-OTHER shaft handler to agent""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""alive tijgu""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,20433,"""MALWARE-OTHER shaft agent to handler""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""alive""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,6838,"""MALWARE-OTHER mstream agent to handler""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""newserver""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,10498,"""MALWARE-OTHER mstream handler to agent""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""stream/""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,10498,"""MALWARE-OTHER mstream handler ping to agent""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""ping""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,10498,"""MALWARE-OTHER mstream agent pong to handler""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""pong""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,12754,"""MALWARE-OTHER mstream client to handler""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['"">""'])]"
alert,tcp,$HOME_NET,12754,unidirectional,$EXTERNAL_NET,any,"""MALWARE-OTHER mstream handler to client""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['"">""'])]"
alert,tcp,$HOME_NET,15104,unidirectional,$EXTERNAL_NET,any,"""MALWARE-OTHER mstream handler to client""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['"">""'])]"
alert,icmp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-ICMP - TFN client command LE""","['icmp_id', 'icmp_seq', 'itype', 'pcre']","[('icmp_id', ['51201']), ('icmp_seq', ['0']), ('itype', ['0']), ('pcre', ['""/^[0-9]{1', '5}\\x00/""'])]"
alert,udp,$EXTERNAL_NET,53,unidirectional,$HOME_NET,any,"""PROTOCOL-DNS SPOOF query response PTR with TTL of 1 min. and no authority""","['flow', 'content', 'content', 'service']","[('flow', ['to_client']), ('content', ['""|85 80 00 01 00 01 00 00 00 00|""']), ('content', ['""|C0 0C 00 0C 00 01 00 00 00|<|00 0F|""', 'fast_pattern', 'nocase']), ('service', ['dns'])]"
alert,udp,$EXTERNAL_NET,53,unidirectional,$HOME_NET,any,"""PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority""","['flow', 'content', 'byte_test', 'byte_test', 'content', 'content', 'byte_test', 'byte_test', 'service']","[('flow', ['to_client']), ('content', ['""|81 80|""', 'depth 4', 'offset 2', 'fast_pattern']), ('byte_test', ['2', '>', '0', '0', 'relative', 'big']), ('byte_test', ['2', '>', '0', '2', 'relative', 'big']), ('content', ['""|00 00 00 00|""', 'within 4', 'distance 4']), ('content', ['""|C0 0C 00 01 00 01|""', 'distance 0']), ('byte_test', ['4', '<', '61', '0', 'relative', 'big']), ('byte_test', ['4', '>', '0', '0', 'relative', 'big']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""PROTOCOL-DNS dns zone transfer via TCP detected""","['flow', 'content', 'byte_test', 'content', 'isdataat', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|00 01 00 00 00 00 00|""', 'depth 8', 'offset 6']), ('byte_test', ['1', '!&', '0xF8', '4']), ('content', ['""|00 00 FC 00 01|""', 'fast_pattern']), ('isdataat', ['!1', 'relative']), ('service', ['dns'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""PROTOCOL-DNS named authors attempt""","['flow', 'content', 'content', 'service']","[('flow', ['to_server']), ('content', ['""|07|authors""', 'offset 12', 'nocase']), ('content', ['""|04|bind|00|""', 'offset 12', 'nocase']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""PROTOCOL-DNS named version attempt""","['flow', 'content', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|07|version""', 'offset 12', 'nocase']), ('content', ['""|04|bind|00|""', 'offset 12', 'nocase']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""SERVER-OTHER Bind Buffer Overflow via NXT records""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""../../../""', 'fast_pattern', 'nocase']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""SERVER-OTHER Bind Buffer Overflow via NXT records named overflow ADM""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""thisissometempspaceforthesockinaddrinyeahyeahiknowthisislamebutanywaywhocareshorizongotitworkingsoalliscool""', 'fast_pattern', 'nocase']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""SERVER-OTHER Bind Buffer Overflow via NXT records named overflow ADMROCKS""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""ADMROCKS""']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""SERVER-OTHER Bind named overflow attempt""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|CD 80 E8 D7 FF FF FF|/bin/sh""', 'fast_pattern', 'nocase']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""OS-LINUX OS-LINUX x86 Linux overflow attempt""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""1|C0 B0|?1|DB B3 FF|1|C9 CD 80|1|C0|""', 'fast_pattern', 'nocase']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""OS-LINUX OS-LINUX x86 Linux overflow attempt""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""1|C0 B0 02 CD 80 85 C0|uL|EB|L^|B0|""']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""OS-LINUX OS-LINUX x86 Linux overflow attempt ADMv2""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|89 F7 29 C7 89 F3 89 F9 89 F2 AC|<|FE|""', 'fast_pattern', 'nocase']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""OS-OTHER OS-OTHER x86 FreeBSD overflow attempt""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|EB|n^|C6 06 9A|1|C9 89|N|01 C6|F|05|""']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""OS-SOLARIS EXPLOIT sparc overflow attempt""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|90 1A C0 0F 90 02| |08 92 02| |0F D0 23 BF F8|""', 'fast_pattern', 'nocase']), ('service', ['dns'])]"
alert,udp,any,19,bidirectional,any,7,"""SERVER-OTHER UDP echo+chargen bomb""",['flow'],"[('flow', ['to_server'])]"
alert,ip,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""OS-WINDOWS Microsoft WIndows IGMP dos attack""","['fragbits', 'ip_proto']","[('fragbits', ['M+']), ('ip_proto', ['2'])]"
alert,icmp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,any,"""PROTOCOL-ICMP ath""","['itype', 'content']","[('itype', ['8']), ('content', ['""+++ath""', 'fast_pattern', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,7070,"""SERVER-OTHER RealNetworks Audio Server denial of service attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""|FF F4 FF FD 06|""', 'fast_pattern', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,7070,"""SERVER-OTHER RealNetworks Server template.html""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""/viewsource/template.html?""', 'fast_pattern', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,8080,"""SERVER-OTHER RealNetworks Server template.html""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""/viewsource/template.html?""', 'fast_pattern', 'nocase'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,161,"""SERVER-OTHER Bay/Nortel Nautica Marlin""","['flow', 'dsize']","[('flow', ['to_server']), ('dsize', ['0'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,9,"""SERVER-OTHER Ascend Route""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""NAMENAME""', 'depth 50', 'offset 25'])]"
alert,tcp,$EXTERNAL_NET,80,unidirectional,$HOME_NET,any,"""BROWSER-OTHER Netscape 4.7 client overflow""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['""3|C9 B1 10|?|E9 06|Q<|FA|G3|C0|P|F7 D0|P""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,110,"""PROTOCOL-POP EXPLOIT x86 BSD overflow""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""^|0E|1|C0 B0 3B 8D|~|0E 89 FA 89 F9|""', 'fast_pattern', 'nocase']), ('service', ['pop3'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,110,"""PROTOCOL-POP EXPLOIT x86 BSD overflow""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""h]^|FF D5 FF D4 FF F5 8B F5 90|f1""', 'fast_pattern', 'nocase']), ('service', ['pop3'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,110,"""PROTOCOL-POP EXPLOIT x86 Linux overflow""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|D8|@|CD 80 E8 D9 FF FF FF|/bin/sh""', 'fast_pattern', 'nocase']), ('service', ['pop3'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,110,"""PROTOCOL-POP EXPLOIT x86 SCO overflow""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""V|0E|1|C0 B0 3B 8D|~|12 89 F9 89 F9|""', 'fast_pattern', 'nocase']), ('service', ['pop3'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,110,"""PROTOCOL-POP EXPLOIT qpopper overflow""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|E8 D9 FF FF FF|/bin/sh""', 'fast_pattern', 'nocase']), ('service', ['pop3'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,139,"""OS-LINUX x86 Linux samba overflow""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""|EB|/_|EB|J^|89 FB 89|>|89 F2|""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,2766,"""OS-SOLARIS Oracle Solaris npls x86 overflow""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""|EB 23|^3|C0 88|F|FA 89|F|F5 89|6""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,515,"""SERVER-OTHER LPRng overflow""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""C|07 89|[|08 8D|K|08 89|C|0C B0 0B CD 80|1|C0 FE C0 CD 80 E8 94 FF FF FF|/bin/sh|0A|""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,515,"""OS-LINUX Redhat 7.0 lprd overflow""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""XXXX%.172u%300|24|n""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""SERVER-OTHER Bind Buffer Overflow named tsig overflow attempt""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|AB CD 09 80 00 00 00 01 00 00 00 00 00 00 01 00 01|    |02|a""']), ('service', ['dns'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,6373,"""SERVER-OTHER SCO calserver overflow""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""|EB 7F|]U|FE|M|98 FE|M|9B|""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,8080,"""SERVER-OTHER delegate proxy overflow""","['flow', 'isdataat', 'content']","[('flow', ['to_server', 'established']), ('isdataat', ['1000']), ('content', ['""whois|3A|//""', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,9090,"""SERVER-OTHER VQServer admin""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""GET / HTTP/1.1""', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,6666:7000,"""SERVER-OTHER CHAT IRC topic overflow""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['""|EB|K[S2|E4 83 C3 0B|K|88 23 B8|Pw""'])]"
alert,tcp,$EXTERNAL_NET,21,unidirectional,$HOME_NET,any,"""SERVER-OTHER NextFTP client overflow""","['flow', 'content', 'service']","[('flow', ['to_client', 'established']), ('content', ['""|B4| |B4|!|8B CC 83 E9 04 8B 19|3|C9|f|B9 10|""']), ('service', ['ftp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$SMTP_SERVERS,25,"""SERVER-MAIL sniffit overflow""","['flow', 'dsize', 'flags', 'content', 'service']","[('flow', ['to_server', 'established']), ('dsize', ['>512']), ('flags', ['A+']), ('content', ['""from|3A 90 90 90 90 90 90 90 90 90 90 90|""', 'nocase']), ('service', ['smtp'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$SMTP_SERVERS,25,"""SERVER-MAIL x86 windows MailMax overflow""","['flow', 'content', 'service']","[('flow', ['to_server', 'established']), ('content', ['""|EB|E|EB| [|FC|3|C9 B1 82 8B F3 80|+""', 'fast_pattern', 'nocase']), ('service', ['smtp'])]"
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,80,"""BROWSER-OTHER Netscape 4.7 unsucessful overflow""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""3|C9 B1 10|?|E9 06|Q<|FA|G3|C0|P|F7 D0|P""'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,518,"""OS-LINUX ntalkd x86 Linux overflow""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""|01 03 00 00 00 00 00 01 00 02 02 E8|""', 'fast_pattern', 'nocase'])]"
alert,udp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,53,"""SERVER-OTHER Bind Buffer Overflow named tsig overflow attempt""","['flow', 'content', 'service']","[('flow', ['to_server']), ('content', ['""|80 00 07 00 00 00 00 00 01|?|00 01 02|""', 'fast_pattern', 'nocase']), ('service', ['dns'])]"
